IDVMR;IDGG;IDM;MshareGG
BISD2;A;1;0.6527770582094168
BISD2;A;4a;0.03069914713527627
BISD2;A;4b;0
BISD2;A;5;0.001646079589322837
BISD2;A;6;0.01898630566478811
BISD2;A;7;0
BISD2;A;8;0
BISD2;A;14;0.008491106795336963
BISD2;A;9;0.04441896014584786
BISD2;A;12;0
BISD2;A;10;0.2167469893998617
BISD2;A;11;0.01767786775125286
BISD2;A;40;0.008556485308896633
BISD2;B;1;0.6680954953419607
BISD2;B;3;0
BISD2;B;4a;0.0150694581533155
BISD2;B;4b;0
BISD2;B;5;0.1860146974474619
BISD2;B;6;0.01323532497720078
BISD2;B;7;0
BISD2;B;8;0.001005420538537805
BISD2;B;14;0.00154595941374444
BISD2;B;10;0.02348547515520303
BISD2;B;11;0.0915481689725757
BISD2;B;40;0
BISD2;C;1;0
BISD2;C;2;0
BISD2;C;5;0
BISD2;C;6;0
BISD2;C;23;0
BISD2;C;24;0
BISD2;C;25;0
BISD2;C;15;0
BISD2;C;26;0
BISD2;C;27;0
BISD2;C;28;0
BISD2;C;14;0
BISD2;C;30;0
BISD2;C;31;0
BISD2;C;32;0
BISD2;C;33;0
BISD2;C;34;0
BISD2;C;7;0
BISD2;C;40;0
BISD2;D;1;0.4236023667269682
BISD2;D;2;0
BISD2;D;3;0
BISD2;D;4a;0.04842418642131904
BISD2;D;4b;0
BISD2;D;5;0.2233072833946994
BISD2;D;6;0.06762518046246228
BISD2;D;8;0
BISD2;D;14;0.02483349691890703
BISD2;D;10;0.1900146624768443
BISD2;D;11;0.02219282359879953
BISD2;D;12;0
BISD2;D;16;0
BISD2;D;17;0
BISD2;D;18;0
BISD2;D;19;0
BISD2;D;20;0
BISD2;D;22;0
BISD2;D;15;0
BISD2;D;21;0
BISD2;D;40;0
BISD2;E;1;0.3
BISD2;E;6;0
BISD2;E;3;0.3
BISD2;E;8;0
BISD2;E;4a;0.3
BISD2;E;4b;0
BISD2;E;5;0
BISD2;E;12;0
BISD2;E;10;0.05
BISD2;E;11;0.05
BISD2;E;40;0
BISD2;F;1;0
BISD2;F;5;0
BISD2;F;6;0
BISD2;F;40;0
BISD2;G;1;0
BISD2;G;5;0
BISD2;G;6;0
BISD2;G;11;0
BISD2;G;10;0
BISD2;G;35;0
BISD2;G;31;0
BISD2;G;14;0
BISD2;G;36;0
BISD2;G;15;0
BISD2;G;32;0
BISD2;G;26;0
BISD2;G;37;0
BISD2;G;38;0
BISD2;G;7;0
BISD2;G;39;0
BISD2;G;40;0
BISD2;H;1;0
BISD2;H;2;0
BISD2;H;12;0
BISD2;H;14;0
BISD2;H;4a;0
BISD2;H;4b;0
BISD2;H;6;0
BISD2;H;10;0
BISD2;H;11;0
BISD2;H;15;0
BISD2;H;21;0
BISD2;H;40;0
BISD2;Iaux;37;0.061
BISD2;Iaux;72;0.69
BISD2;Iaux;73;0.079
BISD2;Iaux;29;0.021
BISD2;Iaux;75;0.141
BISD2;Iaux;76;0.008000000000000118
BISD2;Iaux;84;1
BISD3;A;1;0.648589044735067
BISD3;A;4a;0.02866444228700337
BISD3;A;4b;0
BISD3;A;5;0.002037785936527162
BISD3;A;6;0.02189539679733182
BISD3;A;7;0
BISD3;A;8;0
BISD3;A;14;0.008653232239797847
BISD3;A;9;0.04546675960342684
BISD3;A;12;0
BISD3;A;10;0.221663762005411
BISD3;A;11;0.01771479058598038
BISD3;A;40;0.00531478580945477
BISD3;B;1;0.666615054525674
BISD3;B;3;0
BISD3;B;4a;0.01662670270746304
BISD3;B;4b;0
BISD3;B;5;0.1084091199064685
BISD3;B;6;0.01342278707038968
BISD3;B;7;0
BISD3;B;8;0.001886021369076378
BISD3;B;14;0.006784028687595694
BISD3;B;10;0.03011398258164429
BISD3;B;11;0.1561423031516883
BISD3;B;40;0
BISD3;C;1;0
BISD3;C;2;0
BISD3;C;5;0
BISD3;C;6;0
BISD3;C;23;0
BISD3;C;24;0
BISD3;C;25;0
BISD3;C;15;0
BISD3;C;26;0
BISD3;C;27;0
BISD3;C;28;0
BISD3;C;14;0
BISD3;C;30;0
BISD3;C;31;0
BISD3;C;32;0
BISD3;C;33;0
BISD3;C;34;0
BISD3;C;7;0
BISD3;C;40;0
BISD3;D;1;0.3516329766588818
BISD3;D;2;0
BISD3;D;3;0.005158775500871889
BISD3;D;4a;0.04689181431327608
BISD3;D;4b;0
BISD3;D;5;0.2452892224527339
BISD3;D;6;0.07738149741864665
BISD3;D;8;0
BISD3;D;14;0.02528441121543623
BISD3;D;10;0.2221614004964593
BISD3;D;11;0.02619990194369404
BISD3;D;12;0
BISD3;D;16;0
BISD3;D;17;0
BISD3;D;18;0
BISD3;D;19;0
BISD3;D;20;0
BISD3;D;22;0
BISD3;D;15;0
BISD3;D;21;0
BISD3;D;40;0
BISD3;E;1;0.3
BISD3;E;6;0
BISD3;E;3;0.3
BISD3;E;8;0
BISD3;E;4a;0.3
BISD3;E;4b;0
BISD3;E;5;0
BISD3;E;12;0
BISD3;E;10;0.05
BISD3;E;11;0.05
BISD3;E;40;0
BISD3;F;1;0
BISD3;F;5;0
BISD3;F;6;0
BISD3;F;40;0
BISD3;G;1;0
BISD3;G;5;0
BISD3;G;6;0
BISD3;G;11;0
BISD3;G;10;0
BISD3;G;35;0
BISD3;G;31;0
BISD3;G;14;0
BISD3;G;36;0
BISD3;G;15;0
BISD3;G;32;0
BISD3;G;26;0
BISD3;G;37;0
BISD3;G;38;0
BISD3;G;7;0
BISD3;G;39;0
BISD3;G;40;0
BISD3;H;1;0
BISD3;H;2;0
BISD3;H;12;0
BISD3;H;14;0
BISD3;H;4a;0
BISD3;H;4b;0
BISD3;H;6;0
BISD3;H;10;0
BISD3;H;11;0
BISD3;H;15;0
BISD3;H;21;0
BISD3;H;40;0
BISD3;Iaux;37;0.061
BISD3;Iaux;72;0.69
BISD3;Iaux;73;0.079
BISD3;Iaux;29;0.021
BISD3;Iaux;75;0.141
BISD3;Iaux;76;0.008000000000000118
BISD3;Iaux;84;1
BISD6;A;1;0.648589044735067
BISD6;A;4a;0.02866444228700337
BISD6;A;4b;0
BISD6;A;5;0.002037785936527162
BISD6;A;6;0.02189539679733182
BISD6;A;7;0
BISD6;A;8;0
BISD6;A;14;0.008653232239797847
BISD6;A;9;0.04546675960342684
BISD6;A;12;0
BISD6;A;10;0.221663762005411
BISD6;A;11;0.01771479058598038
BISD6;A;40;0.00531478580945477
BISD6;B;1;0.666615054525674
BISD6;B;3;0
BISD6;B;4a;0.01662670270746304
BISD6;B;4b;0
BISD6;B;5;0.1084091199064685
BISD6;B;6;0.01342278707038968
BISD6;B;7;0
BISD6;B;8;0.001886021369076378
BISD6;B;14;0.006784028687595694
BISD6;B;10;0.03011398258164429
BISD6;B;11;0.1561423031516883
BISD6;B;40;0
BISD6;C;1;0.4956443376389307
